2025-10-01|09:15:23|Morning Deposit|Corner Bank|500.00
2025-10-02|13:42:10|Milk Restock|Dairy Supply Co|-120.45
2025-10-03|10:05:55|Snack Refill|Food Distributor|-210.75
2025-09-25|16:30:42|Vendor Payment|Local Produce|-350.00
2025-10-04|11:20:35|Customer Payment|Cash Register|85.50
2025-09-15|14:10:17|Utility Bill|City Electric|-190.25
2024-12-29|09:22:58|Year-End Deposit|Corner Bank|1000.00
2024-11-10|12:15:45|Winter Supplies|Hardware World|-275.80
2025-01-05|10:11:33|New Year Deposit|Corner Bank|650.00
2025-10-15|17:45:00|Snack Sale|Customer|25.00
